iter	Passed	Remaining
0	5	5794
1	35	17497
2	167	55630
3	204	50939
4	370	73667
5	477	79080
6	486	68972
7	565	70122
8	612	67453
9	618	61250
10	623	56092
11	703	57923
12	715	54305
13	781	55045
14	959	62976
15	1035	63672
16	1077	62279
17	1085	59233
18	1101	56848
19	1138	55790
20	1161	54135
21	1214	53995
22	1236	52535
23	1279	52030
24	1326	51742
25	1467	54990
26	1540	55514
27	1559	54149
28	1564	52397
29	1579	51084
30	1600	50040
31	1627	49245
32	1658	48595
33	1663	47260
34	1675	46206
35	1692	45318
36	1709	44492
37	1718	43503
38	1734	42737
39	1745	41903
40	1760	41171
41	1778	40558
42	1803	40140
43	1815	39454
44	1821	38659
45	1833	38015
46	1837	37257
47	1845	36598
48	1869	36282
49	1897	36061
50	1905	35466
51	1912	34859
52	1917	34262
53	1931	33829
54	1973	33914
55	1984	33453
56	2006	33200
57	2049	33282
58	2078	33153
59	2088	32716
60	2113	32535
61	2128	32207
62	2151	31998
63	2160	31604
64	2178	31343
65	2191	31012
66	2201	30657
67	2213	30332
68	2224	30013
69	2249	29888
70	2273	29743
71	2289	29511
72	2299	29199
73	2310	28913
74	2340	28861
75	2349	28560
76	2380	28534
77	2405	28435
78	2427	28300
79	2460	28297
80	2483	28176
81	2489	27872
82	2502	27651
83	2510	27379
84	2538	27322
85	2548	27082
86	2561	26883
87	2576	26697
88	2604	26656
89	2628	26576
90	2634	26312
91	2653	26184
92	2665	25993
93	2683	25863
94	2702	25748
95	2719	25609
96	2764	25739
97	2788	25668
98	2822	25684
99	2828	25460
100	2833	25223
101	2862	25204
102	2892	25190
103	2909	25066
104	2934	25014
105	2996	25271
106	3046	25428
107	3096	25573
108	3113	25449
109	3129	25319
110	3157	25290
111	3173	25159
112	3208	25184
113	3243	25208
114	3253	25036
115	3267	24900
116	3279	24750
117	3300	24673
118	3318	24564
119	3332	24437
120	3364	24442
121	3377	24303
122	3386	24147
123	3397	24000
124	3436	24057
125	3449	23930
126	3461	23791
127	3468	23629
128	3480	23496
129	3486	23333
130	3497	23203
131	3523	23169
132	3535	23045
133	3549	22936
134	3576	22918
135	3587	22791
136	3599	22675
137	3611	22559
138	3623	22445
139	3630	22301
140	3650	22239
141	3657	22101
142	3669	21992
143	3677	21861
144	3691	21765
145	3695	21616
146	3709	21524
147	3720	21417
148	3735	21334
149	3743	21212
150	3756	21120
151	3768	21024
152	3779	20921
153	3786	20799
154	3792	20675
155	3800	20560
156	3817	20495
157	3827	20399
158	3842	20324
159	3852	20225
160	3860	20118
161	3867	20008
162	3881	19933
163	3886	19811
164	3901	19742
165	3908	19639
166	3922	19567
167	3949	19557
168	3964	19495
169	3973	19401
170	3982	19304
171	4004	19276
172	4016	19201
173	4032	19140
174	4043	19060
175	4061	19016
176	4075	18950
177	4081	18849
178	4086	18745
179	4098	18671
180	4111	18602
181	4119	18515
182	4129	18437
183	4139	18355
184	4152	18291
185	4163	18221
186	4179	18171
187	4191	18102
188	4201	18030
189	4237	18063
190	4247	17992
191	4263	17941
192	4270	17854
193	4274	17761
194	4284	17686
195	4296	17624
196	4305	17549
197	4324	17516
198	4333	17442
199	4352	17408
200	4364	17348
201	4388	17336
202	4402	17283
203	4417	17236
204	4429	17176
205	4448	17148
206	4459	17085
207	4466	17007
208	4471	16922
209	4482	16863
210	4496	16813
211	4527	16829
212	4542	16783
213	4556	16735
214	4564	16665
215	4571	16592
216	4588	16556
217	4607	16526
218	4615	16461
219	4638	16445
220	4646	16378
221	4657	16321
222	4672	16279
223	4686	16234
224	4695	16173
225	4705	16116
226	4716	16059
227	4730	16016
228	4738	15953
229	4749	15899
230	4756	15835
231	4761	15762
232	4773	15713
233	4789	15677
234	4799	15624
235	4813	15581
236	4824	15530
237	4853	15540
238	4877	15530
239	4892	15493
240	4902	15439
241	4914	15394
242	4931	15361
243	4948	15330
244	4956	15274
245	4967	15224
246	4984	15195
247	4996	15151
248	5011	15115
249	5022	15066
250	5038	15035
251	5054	15002
252	5065	14957
253	5079	14917
254	5094	14883
255	5104	14834
256	5116	14791
257	5130	14753
258	5140	14707
259	5150	14658
260	5158	14607
261	5173	14572
262	5183	14526
263	5192	14476
264	5209	14449
265	5215	14390
266	5226	14349
267	5237	14304
268	5259	14293
269	5277	14268
270	5286	14220
271	5293	14167
272	5299	14113
273	5313	14079
274	5328	14049
275	5338	14003
276	5358	13985
277	5370	13947
278	5379	13901
279	5391	13863
280	5399	13816
281	5408	13770
282	5421	13736
283	5430	13690
284	5440	13649
285	5448	13601
286	5456	13555
287	5473	13532
288	5483	13491
289	5492	13447
290	5503	13410
291	5512	13365
292	5529	13341
293	5537	13298
294	5547	13256
295	5557	13217
296	5563	13169
297	5576	13137
298	5583	13090
299	5594	13054
300	5602	13011
301	5629	13012
302	5637	12968
303	5651	12939
304	5660	12898
305	5668	12854
306	5679	12820
307	5688	12780
308	5697	12740
309	5707	12703
310	5715	12662
311	5726	12628
312	5736	12591
313	5746	12553
314	5759	12524
315	5766	12482
316	5780	12454
317	5788	12414
318	5796	12373
319	5813	12353
320	5820	12312
321	5825	12265
322	5837	12235
323	5850	12206
324	5860	12172
325	5877	12151
326	5887	12116
327	5898	12085
328	5909	12053
329	5926	12031
330	5937	12001
331	5951	11973
332	5959	11936
333	5972	11908
334	5980	11872
335	5989	11836
336	5995	11796
337	6004	11760
338	6014	11727
339	6026	11698
340	6036	11665
341	6046	11633
342	6057	11603
343	6084	11602
344	6089	11560
345	6100	11531
346	6108	11494
347	6116	11459
348	6125	11426
349	6134	11392
350	6149	11370
351	6165	11349
352	6174	11316
353	6182	11282
354	6196	11257
355	6207	11228
356	6214	11193
357	6230	11172
358	6243	11148
359	6251	11112
360	6259	11079
361	6269	11049
362	6278	11017
363	6302	11011
364	6311	10979
365	6320	10949
366	6328	10914
367	6345	10898
368	6353	10864
369	6363	10835
370	6373	10805
371	6385	10779
372	6396	10752
373	6422	10749
374	6432	10720
375	6441	10689
376	6448	10656
377	6457	10626
378	6467	10596
379	6476	10567
380	6486	10538
381	6497	10511
382	6506	10482
383	6514	10451
384	6522	10418
385	6529	10385
386	6545	10367
387	6572	10367
388	6587	10347
389	6597	10319
390	6614	10303
391	6627	10279
392	6635	10248
393	6644	10219
394	6652	10189
395	6664	10164
396	6673	10135
397	6686	10113
398	6694	10083
399	6709	10064
400	6715	10032
401	6724	10002
402	6731	9972
403	6744	9949
404	6753	9922
405	6762	9894
406	6772	9867
407	6780	9839
408	6796	9820
409	6804	9791
410	6821	9775
411	6829	9746
412	6841	9724
413	6853	9700
414	6867	9681
415	6878	9656
416	6887	9629
417	6898	9605
418	6908	9580
419	6918	9553
420	6926	9526
421	6933	9496
422	6942	9470
423	6955	9449
424	6967	9427
425	6975	9398
426	6993	9384
427	7002	9357
428	7013	9334
429	7024	9310
430	7032	9284
